Date,Word,Guesses,Guess 1,Guess 2,Guess 3,Guess 4,Guess 5,Guess 6
2022-02-16,caulk,5,trash,pylon,weird,laugh,caulk,-
2022-02-17,shake,4,trash,pylon,shaft,shake,-,-
